이름,종류,이미지,완료 날짜,유실 날짜,성별,견종/묘종,색상,몸무게,도,"시, 군, 구","동, 읍, 면",세부 주소,마지막 제보 지역,중성화,인식칩,"하네스, 목줄, 옷",추가 이미지1,추가 이미지2,그 외 세부 특징,추가 이미지3,추가 이미지4,,,,,,,,,,,,,
레오 (광주),개,레오_광주.jpg,2024.06.22,2024.06.20,수,믹스,갈색,8kg,전라남도,"광주시 광산구","수완동 ",윤슬의아침4차,,O,내장칩,,레오_광주1.jpg,레오_광주2.jpg,"여우같은 생김새
털갈이중",레오_광주3.jpg,레오_광주4.jpg,,,,,,,,,,,,,
후추,개,후추.jpg,2024.06.22,2024.06.20,암,그레이하운드,회색,4kg,경기도,"수원시 영통구","매탄동",머내생태공원,,,외장칩,"녹색 목걸이에 인식표
파란색 손잡이 자동리드줄",후추1.jpg,후추2.jpg,"귀끝 접혀있음
뒷 발가락 흰 털
뒷 목에 땜빵",,,,,,,,,,,,,,,
미소 (금비),개,미소.jpg,2024.06.23,2024.06.17,암,스피츠,흰색,5kg,서울,"서울시 성북구","안암동1가","안암래미안
개운산 진입로쪽",,O,내장칩,,미소1.jpg,미소2.jpg,"넓은 미간
쫑긋 귀
등~엉덩이쪽 털 안난 부분",미소3.jpg,미소4.jpg,,,,,,,,,,,,,
초롱이,개,초롱이.jpg,2024.06.24,2024.04.25,수,믹스,흰색,6kg,경기도,"평택시","평택동",평택역,"[확실] 코브리독스(평택세교점)
오후 4시 (24.6.03)",,없음,"파란색 철물점 목줄",초롱이1.jpg,초롱이2.jpg,"부정교합
눈물자국
쫑긋 귀",초롱이3.jpg,초롱이4.jpg,,,,,,,,,,,,,
아루,개,아루.png,2024.07.21,2023.11.04,암,믹스,흰색,6kg,경기도,"포천시","가산면 소흘읍",,,,,"분홍색 방울 목걸이",아루1.png,아루2.jpg,"접힌 귀
짧은 다리",아루3.jpg,,,,,,,,,,,,,,
복돌이,개,복돌이.jpg,2024.06.25,2024.06.22,수,말티즈,흰색,4kg,경상남도,"부산시","서구 충무동",,,,,,복돌이1.jpg,복돌이2.jpg,혀가 나옴,,,,,,,,,,,,,,,
강이,개,강이.jpg,2024.06.26,2024.06.25,수,믹스,흰색,10kg,경기도,"동두천시","송내동",동두천터미널,송내아이파크,,,,강이1.jpg,강이2.jpg,갈색귀,,,,,,,,,,,,,,,
봉순이,개,봉순이.png,2024.06.28,2024.06.07,암,믹스,검은색,,"충청남도 ","보령시(대천)","대천동",해태로 6,,,,,봉순이1.jpg,봉순이2.png,"날씬한 체형
코 위 회색털
엉덩이 털 복실
가슴~배 흰털
긴 발톱",봉순이3.jpg,봉순이4.jpg,,,,,,,,,,,,,봉순이
카키,개,카키.jpg,2024.06.29,2024.06.19,수,말티즈,흰색,2kg,강원도,"원주시","문막읍 반계리",반계저수지,,,없음,,카키1.jpg,,"눈물자국
등에 갈색 털
아래 앞니 없음",,,,,,,,,,,,,,,카키
달이,개,달이.jpg,2024.06.29,2024.06.23,암,믹스,"흰색
갈색",4kg,전라남도,"광주시 서구","연제동",,스타벅스 앞,,,"오른쪽 눈 체리아이 말린 꼬리",달이1.jpg,,,,,,,,,,,,,,,,,
백곰이,개,백곰이.jpg,2024.06.30,2024.06.30,수,진도믹스,흰색,25kg,인천,"인천시 서구","가정동",가정동성당 뒤 공원,,O,없음,"노랑+회색 목줄",백곰이1. jpg,백곰이2.jpg,,,,,,,,,,,,,,,,
뿅,개,뿅.jpg,2024.07.05,2024.06.26,수,보더콜리믹스,"흰색
검은색",10kg,인천,"인천시 동구","창영동",인천세무서 인근,,O,,"빨간색 하네스",뿅1.jpg,뿅2.jpg,미용한지 얼마 되지 않음,뿅3.jpg,뿅4.jpg,,,,,,,,,,,,,
